id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url
1130,Vizzit,681.0,35.0,19.46,Appartement,2 pièce - 35 m² - s,69007,Lyon,45.74715,4.84382,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ajls3g2wuztndaz8
1390,Vizzit,950.0,68.0,13.97,Appartement,3 pièce - 68 m² - s,69007,Lyon,45.74726,4.83903,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aesu9rrk9tjomqls
1374,Vizzit,495.0,24.0,20.62,Studio,24 m² - Studio,69007,Lyon,45.7474,4.84092,https://www.vizzit.fr/fr/property/appartement/lyon-7/A44ql35036quex2l
1492,Vizzit,483.0,28.0,17.25,Appartement,1 pièce - 28 m²,69003,Lyon,45.74749,4.88728,https://www.vizzit.fr/fr/property/appartement/lyon-3/A7fo14yu2o9bun10
1441,Vizzit,920.0,32.0,28.75,Appartement,2 pièce - 32 m² - s,69007,Lyon,45.7475,4.85826,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aflqxxd0t496e81e
1253,Vizzit,990.0,28.0,35.36,Appartement,2 pièce - 28 m² - s,69007,Lyon,45.74751,4.84201,https://www.vizzit.fr/fr/property/appartement/lyon-7/A0k5vpi9sgg30r0n
1574,Vizzit,865.0,46.0,18.8,Appartement,2 pièce - 46 m² - s,69007,Lyon,45.74752,4.83425,https://www.vizzit.fr/fr/property/appartement/lyon-7/Adk1xzh5junsv16r
1283,Vizzit,1045.0,66.0,15.83,Appartement,3 pièce - 66 m² - s,69007,Lyon,45.74759,4.85702,https://www.vizzit.fr/fr/property/appartement/lyon-7/Apy3tx1vtaghqf8r
1341,Vizzit,1400.0,25.0,56.0,Studio,25 m² - Studio,69002,Lyon,45.74768,4.82494,https://www.vizzit.fr/fr/property/appartement/lyon-2/Ajd4mbwtprrdxoq6
1266,Vizzit,1390.0,75.0,18.53,Appartement,3 pièce - 75 m² - s,69003,Lyon,45.7477,4.87776,https://www.vizzit.fr/fr/property/appartement/lyon-3/Axncbquj9h3r7alc
1219,Vizzit,650.0,36.0,18.06,Studio,36 m² - Studio,69007,Lyon,45.74771,4.84919,https://www.vizzit.fr/fr/property/appartement/lyon-7/Asejir4qc9q3ow5x
1267,Vizzit,800.0,38.0,21.05,Appartement,2 pièce - 38 m² - s,69003,Lyon,45.74776,4.8812,https://www.vizzit.fr/fr/property/appartement/lyon-3/Ayobmiv4caau69st
1258,Vizzit,568.0,16.0,35.5,Studio,16 m² - Studio,69007,Lyon,45.74777,4.84317,https://www.vizzit.fr/fr/property/appartement/lyon-7/At3kymipm4ip99y1
1181,Vizzit,957.0,50.0,19.14,Appartement,2 pièce - 50 m² - s,69007,Lyon,45.7479,4.83765,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aqw5457veepn7kbn
1299,Vizzit,685.0,29.0,23.62,Appartement,2 pièce - 29 m² - s,69002,Lyon,45.74795,4.82808,https://www.vizzit.fr/fr/property/appartement/lyon-2/A79py5fqjw537c8e
1391,Vizzit,650.0,20.0,32.5,Studio,20 m² - Studio,69002,Lyon,45.74805,4.82568,https://www.vizzit.fr/fr/property/appartement/lyon-2/Awf17k6bbmynitcl
1518,Vizzit,1100.0,66.0,16.67,Appartement,2 pièce - 66 m² - s,69007,Lyon,45.74841,4.84007,https://www.vizzit.fr/fr/property/appartement/lyon-7/Afjp3q2lu55t27nj
1461,Vizzit,1000.0,56.0,17.86,Appartement,3 pièce - 56 m² - s,69007,Lyon,45.74853,4.84171,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aosb99iwx0kqlrow
1530,Vizzit,950.0,50.0,19.0,Appartement,2 pièce - 50 m² - s,69007,Lyon,45.74866,4.83503,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ab2u2jf0q0hosa0c
1527,Vizzit,495.0,18.0,27.5,Studio,18 m² - Studio,69007,Lyon,45.74866,4.85868,https://www.vizzit.fr/fr/property/appartement/lyon-7/A3znsajyppbz3ccl
1243,Vizzit,620.0,36.0,17.22,Appartement,2 pièce - 36 m² - s,69007,Lyon,45.74871,4.83507,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ate7ta7o84h1mkng
1305,Vizzit,626.0,25.0,25.04,Studio,25 m² - Studio,69007,Lyon,45.74872,4.84808,https://www.vizzit.fr/fr/property/appartement/lyon-7/Axgnnnkpiafapzro
1310,Vizzit,560.0,31.0,18.06,Appartement,1 pièce - 31 m²,69002,Lyon,45.74883,4.82557,https://www.vizzit.fr/fr/property/appartement/lyon-2/A5s68mx5wkcaiuaw
1487,Vizzit,1515.0,80.0,18.94,Appartement,4 pièce - 80 m² - s,69002,Lyon,45.74883,4.82557,https://www.vizzit.fr/fr/property/appartement/lyon-2/Awc93rx0i1cgkxhe
1346,Vizzit,800.0,48.0,16.67,Appartement,2 pièce - 48 m² - s,69007,Lyon,45.74884,4.83906,https://www.vizzit.fr/fr/property/appartement/lyon-7/At3vd9oypb4zectq
1526,Vizzit,700.0,21.0,33.33,Studio,21 m² - Studio,69007,Lyon,45.74884,4.84895,https://www.vizzit.fr/fr/property/appartement/lyon-7/Az1nmw2o0ly5ykvo
1128,Vizzit,775.0,60.0,12.92,Appartement,2 pièce - 60 m² - s,69002,Lyon,45.74889,4.82554,https://www.vizzit.fr/fr/property/appartement/lyon-2/Axnno2cyggab1i4k
1224,Vizzit,1398.0,124.0,11.27,Appartement,4 pièce - 124 m² - s,69002,Lyon,45.74889,4.82554,https://www.vizzit.fr/fr/property/appartement/lyon-2/Awzx9ypjurhvftjw
1437,Vizzit,605.0,21.0,28.81,Appartement,1 pièce - 21 m²,69003,Lyon,45.74893,4.88295,https://www.vizzit.fr/fr/property/appartement/lyon-3/Ausuku6mopexeahj
