id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,url,latitude,longitude
71,Orpi,1433.0,86.0,16.66,Appartement,3 pièce - 3 chambre - Exclusivitépar mois s 86 m2 7 - DebourgMessagesBalcon TerrasseÀ rafraîchirNon meubléAscenseurFavoris,69007,Lyon,https://www.orpi.com/annonce-location-appartement-t3-lyon-7-69007-0079ca6a-5085-467e-a7dd-045187c95a7e/,45.74015384872722,4.846505549844372
72,Orpi,1350.0,81.0,16.67,Appartement,4 pièce - 2 chambre - ExclusivitéVisite virtuellepar mois s 81 m2 9 - La DuchèreMess agesBalconCaveBon étatExposition : SudNon meubléFavoris,69009,Lyon,https://www.orpi.com/annonce-location-appartement-t4-lyon-9-69009-87559fae-fd4d-4333-9603-01331ca974e8/,45.76712412942355,4.805365022671423
73,Orpi,750.0,35.0,21.43,Studio,1 pièce - Exclusivitépar mois 35 m2 3 - Sans SouciMessageStudioCaveBon étatMeubléAscenseurRez - de - chausséeFavoris,69003,Lyon,https://www.orpi.com/annonce-location-appartement-t1-lyon-3-69003-11ed4cbc-bc8d-4caf-ad5a-a0a41ef9c44e/,45.74915709893847,4.875657590130641
74,Orpi,1950.0,50.0,39.0,Appartement,2 pièce - ExclusivitéVisite virtuellepar mois s 50 m2 6 - FochMessage1 c hambreBalconCaveBon étatNon meubléAscenseurFavoris,69006,Lyon,https://www.orpi.com/annonce-location-appartement-t2-lyon-6-69006-e919fdb0-5de5-4f7f-b755-7fe86f29b72f/,45.77426748873601,4.858768550829499
75,Orpi,1750.0,109.0,16.06,Maison,4 pièce - 3 chambre - ExclusivitéVisite virtuellepar mois Maison s 109 m2 3 - Grange BlancheMess agesTerrasseBon étatNon meubléJardinFavoris,69003,Lyon,https://www.orpi.com/annonce-location-maison-t4-lyon-3-69003-212c3e42-8aa5-4d49-98f8-aad7670ba064/,45.753041449434285,4.856329958612695
76,Orpi,2250.0,99.0,22.73,Appartement,3 pièce - 2 chambre - ExclusivitéVisite virtuellepar mois s 99 m2 6 - MassénaMessage sBalconCaveBon étatMeubléAscenseurFavoris,69006,Lyon,https://www.orpi.com/annonce-location-appartement-t3-lyon-6-69006-cc1179ab-a48b-492a-a78f-f5ed9691060a/,45.77418731961564,4.856787446983672
77,Orpi,759.0,59.0,12.86,Appartement,2 pièce - Visite virtuellepar mois s 59 m2 8 - Grand TrouMessage1 chambr eTerrasseBon étatNon meubléRez - de - chausséeFavoris,69008,Lyon,https://www.orpi.com/annonce-location-appartement-t2-lyon-8-69008-1ef58b00-935b-4b6b-af34-ea7ffeaab53a/,45.72930544558211,4.8656175204505345
78,Orpi,2250.0,180.0,12.5,Appartement,4 pièce - 3 chambre - ExclusivitéVisite virtuellepar mois s 180 m2 5 - Vieux Mes sagesCaveBon étatNon meubléEtage : 1Favoris,69005,Lyon,https://www.orpi.com/annonce-location-appartement-t4-lyon-5-69005-83f755c7-66f2-420b-a513-05b2db60b833/,45.75961801088282,4.8016066223196585
79,Orpi,3000.0,166.0,18.07,Maison,7 pièce - 5 chambre - par mois Maison s 166 m2 3 - MontchatMessagesTerrasseCaveBon état GarageNon meubléFavoris,69003,Lyon,https://www.orpi.com/annonce-location-maison-t7-lyon-3-69003-3118b33b-ac49-4db9-bc02-ddfca34ac8cf/,45.74951052938876,4.853312264042229
80,PAP,960.0,55.0,17.45,Appartement,2 pièce - 1 chambre - s 55 m²,69003,Lyon,https://www.pap.fr/annonces/appartement-lyon-3e-r448201583,45.76755605880781,4.872321775058174
81,PAP,1310.0,70.0,18.71,Appartement,2 pièce - 1 chambre - s 70 m²,69002,Lyon,https://www.pap.fr/annonces/appartement-lyon-2e-presqu-ile-r460901650,45.755106301420746,4.839893822348571
82,PAP,2575.0,140.0,18.39,Appartement,5 pièce - 4 chambre - s s 140 m²,69006,Lyon,https://www.pap.fr/annonces/appartement-lyon-6e-69006-r445001535,45.76800946426449,4.85491805196501
83,PAP,990.0,65.0,15.23,Appartement,3 pièce - 2 chambre - s s 65 m²,69008,Lyon,https://www.pap.fr/annonces/appartement-lyon-8e-69008-r461501098,45.73132050824881,4.867883576209641
