categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Gentrification - Fleuriste,florist,Sanfleurine,45.7318937,4.8533767,69008.0
Gentrification - Fleuriste,florist,Les fleurs de Co Ré Li,45.7413023,4.8545996,69007.0
Gentrification - Fleuriste,florist,Point du Jour Fleurs,45.7560561,4.7978237,69005.0
Gentrification - Fleuriste,florist,Chez_lisounette,45.7610692,4.8320482,69002.0
Gentrification - Fleuriste,florist,Brontie,45.7551896,4.8278528,69002.0
Gentrification - Fleuriste,florist,À Fleurs de Pots,45.7642644,4.7893959,69009.0
Gentrification - Fleuriste,florist,Henriot Girard,45.7614184,4.8126284,69005.0
Gentrification - Fleuriste,florist,O'kiosque,45.768308,4.8422944,69006.0
Gentrification - Fleuriste,florist,La Garance voyageuse,45.768786,4.8421993,69006.0
Gentrification - Fleuriste,florist,Emilien & Coralie,45.7623434,4.8505814,69003.0
Gentrification - Fleuriste,florist,République Fleurs,45.7659266,4.8360485,69001.0
Gentrification - Fleuriste,florist,Plantes Pour Tous,45.7619244,4.8548889,69003.0
Gentrification - Fleuriste,florist,Jérôme B. Fleuriste,45.7608086,4.835451,69002.0
Nuisance - École,school,École primaire privée Internationale Le Petit Monde,45.7351052,4.8342408,69007.0
Nuisance - Aire de jeux,playground,Inconnu,45.76909,4.8424854,69006.0
Nuisance - Station Service,fuel,Total,45.7348657,4.8392987,69007.0
Nuisance - Station Service,fuel,BP (définitivement fermé),45.7807288,4.8272324,69004.0
Vice - Kebab,kebab,Antalya,45.7427751,4.8698435,69008.0
Vice - Kebab,kebab,Lumière Kebab,45.7450863,4.8721525,69008.0
Vice - Kebab,kebab,Eclair Kebab,45.7320869,4.8592433,69008.0
Vice - Kebab,kebab,Le Cactus,45.7501499,4.8649637,69003.0
Vice - Kebab,kebab,Zigana,45.7750992,4.8060063,69009.0
Vice - Kebab,kebab,Sun Détente,45.7516448,4.8539709,69003.0
Vice - Kebab,kebab,K-akdeniz,45.7328519,4.8799273,69008.0
Vice - Kebab,kebab,Gustavo,45.7532441,4.8402022,69007.0
Vice - Kebab,kebab,Frie(n)ds,45.7546644,4.8425166,69007.0
